,NDVI
0,-0.16970552287574714
1,-0.17356611111103823
2,-0.1796048692810006
3,-0.1771326470587719
4,-0.17749160130713584
5,-0.1779634640522342
6,-0.17449973856203407
7,-0.17202555555548593
8,-0.17519352941170105
9,-0.17123294117640375
10,-0.17612715686268915
11,-0.17009166666659975
12,-0.1685484313724702
13,-0.16892839869273607
14,-0.16636509803912816
15,-0.1690001307188711
16,-0.16475369281035696
17,-0.16228356209140576
18,-0.16049009803911943
19,-0.15779705882343414
20,-0.15549369281035802
21,-0.15916774509795104
22,-0.15533741830055153
23,-0.15327049019597733
24,-0.1523292810456516
25,-0.15412196078420914
26,-0.16036225490185338
27,-0.1630094444443523
28,-0.16613800653586613
29,-0.1584645098038326
30,-0.15417290849663112
31,-0.15510147058813542
32,-0.15745898692801288
33,-0.1536189542482534
34,-0.14945558823518468
35,-0.14169839869268813
36,-0.15420251633978024
37,-0.15188875816982805
38,-0.15367872549009928
39,-0.15028846405218663
40,-0.15198111111100648
41,-0.1521315686273494
42,-0.14802856209139068
43,-0.14953486928094267
44,-0.14596950980381365
45,-0.14765526143780175
46,-0.14747807189532247
47,-0.1468611111110009
48,-0.1451689869279855
49,-0.1477885294116651
50,-0.1502008496731152
51,-0.15884584967313115
52,-0.1576034967319358
53,-0.15915356209140896
54,-0.15533807189532586
55,-0.15587405228747617
