,NDVI
0,3.516283660131106
1,3.5587846405234638
2,3.58009035947778
3,3.5783442810462835
4,3.616629248366489
5,3.6312831699349593
6,3.639409640523428
7,3.685012254902272
8,3.6214928104581783
9,3.6250803921574097
10,3.588983660131285
11,3.6234444444450506
12,3.5808303921575684
13,3.6513988562095765
14,3.6129256535953336
15,3.6147013071901455
16,3.6001014705889105
17,3.6221668300658467
18,3.645772712418882
19,3.649268954248901
20,3.66982745098088
21,3.591608333333952
22,3.59750294117699
23,3.6154343137260136
24,3.611545261438459
25,3.5822004901966102
26,3.46649444444476
27,3.40192696078463
28,3.326647385621396
29,3.3543132352944633
30,3.2942901960786797
31,3.333037091503591
32,3.251877777777911
33,3.279673202614496
34,3.281181535947655
35,3.233733169934846
36,3.117662418300791
37,3.127310457516406
38,3.0760171568628305
39,3.0192970588237613
40,3.6021985294123207
41,3.6100488562097044
42,3.5893588235301137
43,3.5806684640528035
44,3.6201872549025422
45,3.6106267973861894
46,3.6092442810462386
47,3.6078560457520696
48,3.6611465686278164
49,3.6728138888892947
50,3.6661676470592295
51,3.568708823530062
52,3.5719880718958525
53,3.5990171568631175
54,3.5943566993468226
55,3.5946532679741625
