,NDVI
0,4.547418627450944
1,4.516122385620751
2,4.547308006535913
3,4.500971895424549
4,4.474922385620555
5,4.5007256535944355
6,4.491096732025767
7,4.505146405228471
8,4.458685947712145
9,4.477120424836414
10,4.460605555555344
11,4.50833611111098
12,4.4904246732024005
13,4.488764215686143
14,4.468818464052231
15,4.40012107843127
16,4.38259362745078
17,4.352270588235139
18,4.392397058823409
19,4.40305931372549
20,4.421127941176368
21,4.332938071895196
22,4.310035784313492
23,4.329879411764481
24,4.315151633986757
25,4.302373529411557
26,4.04731960784282
27,4.071969934640063
28,4.010237418300423
29,3.986610130718614
30,4.027689705881849
31,4.01380718954202
32,4.033658823529031
33,4.063880065358899
34,4.0994084967315105
35,4.10633153594739
36,4.015326143790383
37,4.088104084966837
38,4.0261640522870525
39,4.0387166666663346
40,4.291286764705743
41,4.285480392156593
42,4.256923039215402
43,4.2380155228756
44,4.236217320261224
45,4.223210784313397
46,4.217509803921361
47,4.2217926470585665
48,4.235423366012832
49,4.237981699346063
50,4.18987205882323
51,4.076661928104397
52,4.081637091503042
53,4.085550980391944
54,4.136154248365834
55,4.120628431372225
