,NDVI
0,0.27407058823532066
1,0.28215454248367206
2,0.27369666666668413
3,0.2703372875817195
4,0.2738492810457675
5,0.2818991830065467
6,0.27781133986929113
7,0.287979248366022
8,0.288157091503264
9,0.2971742810457404
10,0.2910050000000096
11,0.29975437908496616
12,0.30518084967320674
13,0.32340519607843415
14,0.3298325816993594
15,0.3282044117647063
16,0.3359973529411876
17,0.3534747385620761
18,0.3467762091503359
19,0.33354127450984106
20,0.34990137254904424
21,0.3271037254902071
22,0.3291050326797464
23,0.33247205882355174
24,0.3369632026144024
25,0.3161038235294197
26,0.3299957843137391
27,0.3444422875816966
28,0.35151794117645485
29,0.3430910784313711
30,0.36036575163397944
31,0.3557559477124077
32,0.3558628431372743
33,0.36756846405228033
34,0.3641769281045626
35,0.36927774509802963
36,0.3478360457516496
37,0.3666151960784202
38,0.357924836601313
39,0.3561020588235221
40,0.3253526797385674
41,0.32851516339869546
42,0.34021222222223324
43,0.33381192810459115
44,0.34471813725490585
45,0.33723503267976707
46,0.33621522875819193
47,0.3228240522876017
48,0.32871535947713193
49,0.3317846405229238
50,0.33726271241830463
51,0.3248818627451137
52,0.33119137254903686
53,0.3444324836601448
54,0.3581756209150235
55,0.34770872549020254
