,NDVI
0,3.497162254901746
1,3.4409661764705564
2,3.360538562091642
3,3.392930392156917
4,3.386556535947847
5,3.3751756535948143
6,3.428877941176608
7,3.469128104575129
8,3.4192684640524034
9,3.477563235294101
10,3.4046004901961786
11,3.491739705882382
12,3.517555718954094
13,3.513676797385643
14,3.5427550653594397
15,3.5095254901959936
16,3.568429901960562
17,3.603848039215392
18,3.6317024509802565
19,3.680149836601235
20,3.7098042483659115
21,3.659764215686295
22,3.7054784313724736
23,3.7383263071893547
24,3.74808758169913
25,3.720938725490029
26,3.6304619281042236
27,3.590377124183005
28,3.525856045751686
29,3.6489648692811336
30,3.711763235293909
31,3.698486764705829
32,3.6619769607842816
33,3.7170746732024975
34,3.778540849673078
35,3.8877498366012095
36,3.7066787581699527
37,3.7370034313725338
38,3.7103666666666233
39,3.763038398692705
40,3.7551116013070582
41,3.7533480392155516
42,3.811136601306936
43,3.7887980392155662
44,3.84255964052268
45,3.8158883986927785
46,3.814783333333338
47,3.824301470588194
48,3.849650816993419
49,3.8141316993464174
50,3.7819704248366204
51,3.6514890522876464
52,3.6705199346403323
53,3.64807222222213
54,3.7058240196075882
55,3.697305065359088
