,NDVI
0,-0.09434470588223066
1,-0.09703921568616038
2,-0.0944682679737275
3,-0.09823774509791758
4,-0.10046192810445863
5,-0.09858676470575999
6,-0.09937166666654847
7,-0.0984806535946547
8,-0.10207343137244008
9,-0.1010342156861691
10,-0.10241787581691433
11,-0.09915872549012274
12,-0.1005634313724912
13,-0.10081839869275581
14,-0.10230333333328902
15,-0.10749196078428089
16,-0.1086268954248008
17,-0.11095189542480659
18,-0.10800137254898788
19,-0.1075929084967011
20,-0.10624480392152953
21,-0.11296392156859991
22,-0.1146066339869039
23,-0.11329225490193359
24,-0.11416209150324244
25,-0.11505356209147453
26,-0.13360725490194963
27,-0.1317660130718836
28,-0.1354108169934527
29,-0.13774872549019218
30,-0.13491506535947154
31,-0.13606931372547781
32,-0.13431071895423422
33,-0.1322340522875636
34,-0.12997964052285793
35,-0.12969977124180976
36,-0.13564235294116414
37,-0.1304065686274214
38,-0.13486944444442114
39,-0.1342818300653404
40,-0.11603947712415627
41,-0.11642241830063192
42,-0.11853797385618865
43,-0.11998470588234214
44,-0.12029199346404154
45,-0.12116009803920015
46,-0.12152944444443022
47,-0.12128866013070204
48,-0.12034509803919961
49,-0.12025084967318178
50,-0.12359251633985713
51,-0.1314826143790879
52,-0.1307773529411728
53,-0.13077130718953614
54,-0.1270578758169773
55,-0.12811232026142194
