,NDVI
0,0.21270898692815574
1,0.20818356209155353
2,0.19584591503272253
3,0.20042820261442185
4,0.19607120915037668
5,0.20047660130723427
6,0.20302843137259338
7,0.20843091503272537
8,0.20233790849677433
9,0.20860346405233038
10,0.20135179738565728
11,0.21138950980395987
12,0.21298666666671118
13,0.21383872549023422
14,0.22217130718957856
15,0.216445359477162
16,0.22666434640526728
17,0.2295933660131046
18,0.2318966993464385
19,0.225554248366053
20,0.22976075163401852
21,0.2164177450980735
22,0.222039379085004
23,0.22434375816997168
24,0.22785084967323874
25,0.22587575163402107
26,0.2263104248366384
27,0.2198023856209547
28,0.22367388888891512
29,0.22594183006539031
30,0.23567415032683212
31,0.23464454248369
32,0.2343590522876024
33,0.24430058823531633
34,0.2443498366013292
35,0.2543233006536154
36,0.23414879084969412
37,0.24535823529413361
38,0.2418591176470784
39,0.24079493464054255
40,0.22756496732029644
41,0.22477000000003422
42,0.23334699346408547
43,0.2243675490196483
44,0.2320270915033034
45,0.2277066993464447
46,0.23082656862748502
47,0.232735686274539
48,0.23474539215689388
49,0.22663166666669732
50,0.21830313725493689
51,0.21450578431375825
52,0.2223434967320615
53,0.22226218954251972
54,0.23172205882356453
55,0.2338190849673547
