,NDVI
0,0.28848013071900497
1,0.28780660130725244
2,0.30768271241835077
3,0.29453787581704904
4,0.28531950980397985
5,0.2917797712418869
6,0.29040225490202537
7,0.29178431372555774
8,0.2779449346405948
9,0.2710038235294901
10,0.26379643790858687
11,0.26781238562100657
12,0.26169552287591485
13,0.2663063071896434
14,0.2667087581700411
15,0.25755633986940163
16,0.2620255228759234
17,0.255584052287698
18,0.26337209150338853
19,0.26269872549031953
20,0.2668081372550196
21,0.25046934640534985
22,0.24707467320273302
23,0.2513820588236519
24,0.25100862745110364
25,0.2512374836602487
26,0.23570346405241552
27,0.23864771241843347
28,0.24505715686285734
29,0.23500258169946825
30,0.24007186274522055
31,0.23667571895437722
32,0.24173189542497
33,0.24871810457528665
34,0.2500240849674445
35,0.24541552287593718
36,0.2375759477125436
37,0.24975735294129497
38,0.24268421568639958
39,0.24376339869293148
40,0.2477073856210367
41,0.24649300653606934
42,0.24324130718966214
43,0.23852751633998553
44,0.23776937908509052
45,0.23744232026155734
46,0.23773493464064496
47,0.23825970588247136
48,0.24018660130731156
49,0.2423433986929339
50,0.23466486928116942
51,0.22826647058835858
52,0.23599114379097483
53,0.23863941176483638
54,0.24680911764718683
55,0.248803692810592
