,NDVI
0,3.6657787581702466
1,3.6691879084971166
2,3.670445424836976
3,3.6376294117650794
4,3.663959640523137
5,3.670527450980673
6,3.668880718954435
7,3.726053921568792
8,3.694370751634197
9,3.7427601307191596
10,3.6987490196082113
11,3.7371485294121105
12,3.769905228758362
13,3.8195983660132726
14,3.8437875816995626
15,3.8469748366015977
16,3.868279248366221
17,3.941378921568618
18,3.9291805555557318
19,3.9379578431375117
20,3.9298478758172304
21,3.860496405228959
22,3.839512908496924
23,3.859326307189797
24,3.8743666666669077
25,3.815796568627623
26,3.8065029411767624
27,3.8202380718957167
28,3.7284799019610246
29,3.7970439542486227
30,3.900085130719117
31,3.893239052287778
32,3.857998039215993
33,3.898161764706127
34,3.923498366013237
35,3.9688583333334595
36,3.851924346405676
37,3.8793748366014493
38,3.850534967320664
39,3.891903267974019
40,3.8443580065361314
41,3.847527124183151
42,3.8805911764707917
43,3.8693998366015863
44,3.9435864379086443
45,3.9025627450983493
46,3.8849133986931816
47,3.868494771242178
48,3.8752973856212583
49,3.867380065359794
50,3.8409450980395055
51,3.7675517973859196
52,3.7636988562093476
53,3.794136601307584
54,3.8470099673203215
55,3.8326078431376844
