,NDVI
0,-0.5782393790849782
1,-0.533818300653593
2,-0.5043745098039281
3,-0.5191681372549133
4,-0.47652745098039134
5,-0.4618683006535939
6,-0.4451171568627384
7,-0.38681584967321053
8,-0.4523186274509813
9,-0.46620751633985785
10,-0.49366421568625574
11,-0.4655990196078334
12,-0.4927434640522672
13,-0.40729493464052335
14,-0.4590872549019406
15,-0.4604789215686203
16,-0.47130473856209315
17,-0.4347769607843125
18,-0.44044673202614504
19,-0.44519656862743995
20,-0.43040326797385664
21,-0.5239736928104564
22,-0.5255674836601308
23,-0.5131745098039252
24,-0.5079861111111096
25,-0.5345709150326803
26,-0.5944916666666199
27,-0.6691555555555472
28,-0.6892155228757995
29,-0.7182606209150343
30,-0.787124509803927
31,-0.7635339869281291
32,-0.826572712418326
33,-0.8182968954248642
34,-0.8326423202614415
35,-0.8916511437908751
36,-0.9762651960784589
37,-0.9800156862745215
38,-1.0184160130718796
39,-1.0741003267974196
40,-0.5038647058823549
41,-0.509631535947716
42,-0.5230727124183008
43,-0.5372227124182933
44,-0.5046511437908399
45,-0.5077014705882219
46,-0.503050326797382
47,-0.521318627450981
48,-0.467551307189525
49,-0.4616812091503169
50,-0.4518593137254739
51,-0.524856372549014
52,-0.5108609477124082
53,-0.4654437908496543
54,-0.4652065359477011
55,-0.4397598039215608
