,NDVI
0,-0.4911009803921319
1,-0.4665678104574901
2,-0.490801960784298
3,-0.5165580065359423
4,-0.49407140522875226
5,-0.4656606209150298
6,-0.4779861111110999
7,-0.4220295751633754
8,-0.4379379084967196
9,-0.38984787581696384
10,-0.42775441176470175
11,-0.3837714052287435
12,-0.35269444444442644
13,-0.27893480392156655
14,-0.24930114379085277
15,-0.2535769607843162
16,-0.22154901960784817
17,-0.13783202614379006
18,-0.16499820261438186
19,-0.19944558823529707
20,-0.15760147058823845
21,-0.2545892156862751
22,-0.26080800653594843
23,-0.2411647058823563
24,-0.2206562091503316
25,-0.3049676470588207
26,-0.2632004901960768
27,-0.2175697712418227
28,-0.2365715686274455
29,-0.2297558823529459
30,-0.13213120915031684
31,-0.14970866013071474
32,-0.16425539215685492
33,-0.11501879084966939
34,-0.11385522875816742
35,-0.0776999999999895
36,-0.18881601307189264
37,-0.12425441176469813
38,-0.16138202614378666
39,-0.1500436274509709
40,-0.26732761437908686
41,-0.2576395424836641
42,-0.21077385620914538
43,-0.2328130718954238
44,-0.1663343137254889
45,-0.20604575163397684
46,-0.21663496732025503
47,-0.2613026143790796
48,-0.2414385620914954
49,-0.2365428104575098
50,-0.2345998366013016
51,-0.3005382352941135
52,-0.2836269607843105
53,-0.2307545751633987
54,-0.16755212418300036
55,-0.20208284313724875
