,NDVI
0,0.809232352941157
1,0.8309382352941146
2,0.8373557189542323
3,0.8417954248365828
4,0.862437418300654
5,0.8692137254901906
6,0.8692437908496945
7,0.8865326797384923
8,0.8547723856209442
9,0.8613944444444667
10,0.8395330065359613
11,0.8606075163398834
12,0.8316888888889067
13,0.8621321895424201
14,0.8465767973856144
15,0.8476908496732115
16,0.8394913398692938
17,0.8461596405228571
18,0.8679736928104008
19,0.8695849673202162
20,0.8838158496731452
21,0.8475640522875972
22,0.8552810457516108
23,0.8671955882352363
24,0.8622691176470402
25,0.8450937908496858
26,0.7627084967320318
27,0.7299316993463572
28,0.6689905228757594
29,0.7046344771241533
30,0.6694254901960061
31,0.6959985294116837
32,0.6438553921568088
33,0.6648970588234683
34,0.6670501633986677
35,0.6437191176469532
36,0.5715836601306812
37,0.5795709150325898
38,0.5460869281045152
39,0.5089084967319952
40,0.8531475490195812
41,0.8608117647058651
42,0.847570424836586
43,0.8459901960784857
44,0.869182189542458
45,0.8611991830065415
46,0.8590843137254959
47,0.8640513071895165
48,0.8919491830065016
49,0.9015019607842544
50,0.8914715686274177
51,0.8337053921568598
52,0.8323730392156833
53,0.8379341503268027
54,0.832730392156857
55,0.8219349673202176
