,NDVI
0,0.013615032679731366
1,-0.008277614379098951
2,0.06069477124181489
3,-0.0004383986928162333
4,-0.04016568627451812
5,-0.009951307189557591
6,-0.01928186274510637
7,-0.00914411764706038
8,-0.07068839869281578
9,-0.08024705882353983
10,-0.10864297385622018
11,-0.07415947712418927
12,-0.0999869281045811
13,-0.09037222222223266
14,-0.10050310457518297
15,-0.16229885620916382
16,-0.15963790849676104
17,-0.19317908496735128
18,-0.15158006535951257
19,-0.15020000000002917
20,-0.12981568627453377
21,-0.22105604575164803
22,-0.2418630718954481
23,-0.22123676470590642
24,-0.2286941176470798
25,-0.2348080065359642
26,-0.4127957516339891
27,-0.39162581699346166
28,-0.4029382352940906
29,-0.4456089869280603
30,-0.41168333333330104
31,-0.42883055555555527
32,-0.40300065359477655
33,-0.3699601307189603
34,-0.3497870915032527
35,-0.35920947712419316
36,-0.42337777777775815
37,-0.35365588235295414
38,-0.40481029411764646
39,-0.3977052287581536
40,-0.2510276143791036
41,-0.25693562091505034
42,-0.2809315359477146
43,-0.30356650326796863
44,-0.30776650326794763
45,-0.31509493464052096
46,-0.31713349673202407
47,-0.3140156862745058
48,-0.302121732026162
49,-0.2960228758170031
50,-0.340281699346419
51,-0.4154534313725678
52,-0.39085228758171975
53,-0.3841862745098204
54,-0.3359112745098204
55,-0.33883316993465606
