,NDVI
0,-0.15683699346401103
1,-0.1562605555555163
2,-0.1566724836600858
3,-0.15898683006531905
4,-0.1571592810457096
5,-0.1560544771241432
6,-0.15633526143786644
7,-0.15226369281042246
8,-0.15444408496727532
9,-0.15103781045747489
10,-0.15403558823524788
11,-0.15108764705877714
12,-0.14875287581695038
13,-0.1449930392156466
14,-0.14318434640519345
15,-0.1432117320261084
16,-0.14153898692806807
17,-0.13620251633984534
18,-0.13759183006533288
19,-0.13777316993461358
20,-0.13764732026141718
21,-0.1429798039215442
22,-0.14447607843135662
23,-0.14297931372547676
24,-0.1417418954248261
25,-0.14603029411763552
26,-0.14509199346405233
27,-0.14382339869280952
28,-0.1487155228758134
29,-0.1449978104575164
30,-0.13773941176471372
31,-0.1385464705882421
32,-0.1405216666666655
33,-0.1378586601307279
34,-0.13657300653595753
35,-0.13345258169936133
36,-0.14112081699346396
37,-0.13877232026144287
38,-0.14082588235294194
39,-0.13870650326797831
40,-0.14409457516339036
41,-0.1438569934640496
42,-0.14150725490196112
43,-0.14231238562091644
44,-0.13708395424837888
45,-0.1398844444444526
46,-0.14095640522876743
47,-0.1424483660130819
48,-0.14176359477125614
49,-0.14213392156864033
50,-0.14370088235295184
51,-0.1483657189542536
52,-0.14821405228758527
53,-0.1455781045751685
54,-0.14173215686275653
55,-0.14284728758170573
