,NDVI
0,1.5593165032678702
1,1.5344058823528715
2,1.534794607843064
3,1.513922058823441
4,1.5040795751633382
5,1.515937745097958
6,1.5099017973855264
7,1.5185403594770486
8,1.499136437908426
9,1.5209271241829185
10,1.5164901960783679
11,1.5475573529411
12,1.540980065359383
13,1.5334302287580956
14,1.517385784313575
15,1.4750202614377672
16,1.4564140522874804
17,1.4405856209149603
18,1.4619782679737408
19,1.4696828431371598
20,1.478635784313571
21,1.4297676470586964
22,1.4163996732025521
23,1.4258661764704479
24,1.4157071895423683
25,1.4056890522874699
26,1.2280032679738966
27,1.2435527777778395
28,1.1910066993463073
29,1.1829941176469239
30,1.2078235294116266
31,1.2007990196078469
32,1.210999346405287
33,1.2251647058823822
34,1.249750490196008
35,1.2600222222223336
36,1.2020343137254927
37,1.2428307189542636
38,1.2039663398693563
39,1.2110972222222078
40,1.4008611111109865
41,1.3980398692809322
42,1.3798924836600426
43,1.3709057189542007
44,1.3698019607842398
45,1.360452124183023
46,1.3558508169934607
47,1.3582392156863032
48,1.366184313725543
49,1.3651209150326993
50,1.3381330065360233
51,1.2599380718954774
52,1.2554145424837035
53,1.2540838235294514
54,1.2830986928104449
55,1.2688883986928905
